name	type	x	y	z
S1	source	-73.318649	21.774307	34.109138
S2	source	-49.08028	24.157764	69.901779
S3	source	-84.767624	-14.309864	17.836132
S4	source	-70.634	-11.463	63.077
S5	source	-39.835	-9.543	89.911
S6	source	-78.472977	-47.176571	47.914497
S7	source	-55.187672	-48.647983999999994	81.580986
S8	source	72.765747	22.472065	34.888363
S9	source	49.823521	27.354086	67.242561
S10	source	83.68700000000001	-11.831	25.487
S11	source	69.701	-9.782	63.617
S12	source	38.717	-8.599	90.282
S13	source	79.284042	-47.137371	45.546204
S14	source	54.73447399999999	-44.194107	82.872452
D1	detector	-78.379494	18.140862	9.124184
D2	detector	-63.10000000000001	23.879	52.682
D3	detector	-33.864346	19.546526	82.788391
D4	detector	-80.032944	5.304048999999999	27.082462
D5	detector	-72.673233	7.457236	48.951164
D6	detector	-60.022011	7.455084000000001	67.270111
D7	detector	-46.324066	9.613483	78.977928
D8	detector	-80.487	-11.988944	42.670204
D9	detector	-55.93306	-10.104585	78.64212
D10	detector	-84.321671	-31.622817999999995	33.300507
D11	detector	-77.218437	-28.762332999999998	57.708828
D12	detector	-65.601006	-27.075668	73.439468
D13	detector	-49.085526	-27.585839999999997	87.779823
D14	detector	-83.72872900000002	-45.23459600000001	18.436138
D15	detector	-69.286	-48.010999999999996	65.668
D16	detector	-39.429	-48.345	92.76399999999998
D17	detector	78.982452	15.560554	12.180877
D18	detector	62.315	24.986	53.08
D19	detector	35.174	28.261	77.967
D20	detector	78.995125	5.090696	32.504887
D21	detector	72.400497	8.622248	48.61142
D22	detector	57.356609	11.175569	68.313644
D23	detector	45.604973	9.951275	79.379753
D24	detector	80.025146	-11.724762	44.124886
D25	detector	55.586929	-10.052216000000001	78.928238
D26	detector	84.027969	-26.764584	35.035782
D27	detector	75.602631	-26.503033000000002	60.419617
D28	detector	64.150467	-25.741875	74.792114
D29	detector	47.113426000000004	-25.420807	88.873795
D30	detector	83.70787	-44.392326	22.033573
D31	detector	69.044	-46.88499999999999	66.427
D32	detector	38.347103	-38.141411	94.420151
